Ind,Exercise,Difficulty_Level,Target_Muscle_Group,Prime_Mover_Muscle,Primary_Equipment ,Secondary_Items,Posture,Single_or_Double_Arm,Continuous_or_Alternating_Arms,Grip,Load_Position_Ending,Continuous_or_Alternating_Legs ,Foot_Elevation,Combination_Exercises,Body_Region,Force_Type,Laterality,Primary_Exercise_Classification
373,Slider Knee Tuck,Novice,Abdominals,Rectus Abdominis,Sliders,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
374,EZ Bar Incline Bench Skull Crusher,Novice,Triceps,Triceps Brachii ,EZ Bar,1,Seated,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
375,EZ Bar Decline Bench Skull Crusher,Novice,Triceps,Triceps Brachii ,EZ Bar,1,Supine,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
376,EZ Bar Front Raise,Novice,Shoulders,Anterior Deltoids,EZ Bar,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
377,Suspension Pike,Intermediate,Abdominals,Rectus Abdominis,Suspension Trainer,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Midsection,Other,Bilateral,Unsorted*
378,Suspension Side Plank Reach Through,Advanced,Abdominals,Obliques,Suspension Trainer,0,Side Plank,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
379,Bodyweight Cocoon Crunch,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
380,Ab Wheel Standing Rollout,Expert,Abdominals,Rectus Abdominis,Ab Wheel,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
381,Cable Fire Hydrant,Novice,Glutes,Gluteus Maximus,Cable,0,Quadruped,No Arms,Continuous,Flat Palm,Other,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
382,Cable Tall Kneeling Pull Through,Novice,Glutes,Gluteus Maximus,Cable,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
383,Stability Ball Bent Knee Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,Stability Ball,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
384,Bodyweight Bench Bent Knee Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,Bodyweight,1,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
